"","Id","Ciudad","Fecha_Nacimiento","Genero","Saldo","Antiguedad","fecha","fechahoy","Edad","Producto","total_Producto_mas_comprado","total_Valor_mas_Comprado","Marca","total_Marca_mas_Comprada","Color","total_Color_mas_Comprada","valor_estimado"
"1",1,"Bucaramanga","24/11/1982","F",245,7,1982-11-24,2019-03-06,36,"Accesorios",4,1887,"Arturo Calle",3,"Blanco",5,3.82667057859035
"2",3,"Bucaramanga","25/03/1991","M",113,20,1991-03-25,2019-03-06,27,"Pantalon",4,2586,"Gef",4,"Blanco",3,4.72744160391129
"3",5,"Bogotá","6/04/1969","F",261,19,1969-04-06,2019-03-06,49,"Camiseta",3,1767,"Tennis",3,"Blanco",2,3.67203177596015
"4",6,"Medellín","7/09/1988","F",101,27,1988-09-07,2019-03-06,30,"Camiseta",7,3109,"Levis",5,"Rojo",8,5.40140905204127
"5",7,"Medellín","15/03/1979","F",314,5,1979-03-15,2019-03-06,40,"Pantalon",3,2048,"Gef",3,"Rojo",4,4.03414430545254
"6",8,"Medellín","21/01/1970","F",397,9,1970-01-21,2019-03-06,49,"Camisa",3,1247,"Gef",3,"Amarillo",4,3.00193029789593
"7",11,"Bogotá","25/09/1986","F",350,18,1986-09-25,2019-03-06,32,"Accesorios",3,1839,"Polo Club",3,"Negro",4,3.76481505753827
"8",12,"Barranquilla","29/04/1980","F",167,11,1980-04-29,2019-03-06,38,"Camisa",3,1846,"Levis",3,"Verde",3,3.77383565435836
"9",14,"Bogotá","1/08/1983","F",268,1,1983-08-01,2019-03-06,35,"Pantalon",3,1450,"Polo Club",3,"Verde",3,3.26352760567869
"10",15,"Medellín","12/01/1990","M",129,25,1990-01-12,2019-03-06,29,"Camisa",4,1778,"Levis",5,"Negro",4,3.68620699953458
"11",18,"Bogotá","1/04/1976","M",528,3,1976-04-01,2019-03-06,42,"Interior",6,2238,"Tennis",5,"Blanco",3,4.2789890762837
"12",21,"Bucaramanga","4/10/1990","F",456,14,1990-10-04,2019-03-06,28,"Accesorios",2,1244,"Levis",3,"Rojo",3,2.99806432783017
"13",24,"Barranquilla","26/06/1978","M",223,7,1978-06-26,2019-03-06,40,"Camisa",6,2302,"Arturo Calle",3,"Negro",3,4.36146310435314
"14",26,"Barranquilla","2/02/1980","F",182,32,1980-02-02,2019-03-06,39,"Camiseta",3,2035,"Levis",4,"Azul",2,4.01739176850094
"15",28,"Medellín","2/01/1987","F",67,17,1987-01-02,2019-03-06,32,"Accesorios",3,1521,"Tennis",3,"Rojo",3,3.35502223056823
"16",29,"Bogotá","6/08/1973","M",298,27,1973-08-06,2019-03-06,45,"Pantalon",6,2007,"Tennis",4,"Blanco",3,3.98130938122056
"17",30,"Barranquilla","3/06/1971","M",531,24,1971-06-03,2019-03-06,47,"Interior",5,2085,"Tennis",5,"Verde",3,4.08182460293019
"18",31,"Cali","1/03/1985","F",121,21,1985-03-01,2019-03-06,34,"Camisa",3,2464,"Levis",4,"Rojo",3,4.57022548790392
"19",32,"Cali","24/05/1981","F",603,23,1981-05-24,2019-03-06,37,"Accesorios",3,1934,"Tennis",3,"Amarillo",3,3.88723744295385
"20",33,"Barranquilla","30/10/1983","F",464,31,1983-10-30,2019-03-06,35,"Camiseta",6,2728,"Levis",7,"Verde",4,4.91043085369037
"21",34,"Medellín","31/01/1982","M",259,13,1982-01-31,2019-03-06,37,"Camiseta",5,2641,"Tennis",5,"Azul",3,4.79831772178347
"22",35,"Barranquilla","25/10/1980","M",389,25,1980-10-25,2019-03-06,38,"Camisa",3,509,"Polo Club",2,"Rojo",2,2.05090166172017
"23",36,"Bucaramanga","17/12/1983","M",331,21,1983-12-17,2019-03-06,35,"Camisa",6,2848,"Tennis",5,"Azul",5,5.06506965632057
"24",37,"Bucaramanga","1/08/1980","F",411,19,1980-08-01,2019-03-06,38,"Accesorios",3,2140,"Levis",5,"Rojo",4,4.15270072080236
"25",42,"Bogotá","7/11/1979","F",583,20,1979-11-07,2019-03-06,39,"Pantalon",4,1883,"Arturo Calle",3,"Blanco",3,3.82151595183601
"26",44,"Bogotá","11/11/1977","M",627,23,1977-11-11,2019-03-06,41,"Camiseta",3,1950,"Polo Club",6,"Amarillo",3,3.90785594997121
"27",45,"Bogotá","12/02/1984","M",125,31,1984-02-12,2019-03-06,35,"Interior",4,2682,"Tennis",7,"Verde",5,4.85115264601546
"28",48,"Barranquilla","23/04/1981","F",628,35,1981-04-23,2019-03-06,37,"Pantalon",3,1224,"Levis",3,"Rojo",4,2.97229119405847
"29",49,"Barranquilla","1/02/1989","F",462,9,1989-02-01,2019-03-06,30,"Accesorios",4,3034,"Polo Club",5,"Rojo",5,5.30475980039739
"30",51,"Bucaramanga","9/05/1992","F",176,21,1992-05-09,2019-03-06,26,"Pantalon",8,3974,"Tennis",8,"Rojo",10,6.51609708766732
"31",52,"Cali","30/09/1991","F",262,23,1991-09-30,2019-03-06,27,"Accesorios",5,1610,"Levis",4,"Rojo",3,3.4697126758523
"32",53,"Medellín","22/07/1978","M",368,24,1978-07-22,2019-03-06,40,"Accesorios",4,1868,"Tennis",5,"Amarillo",4,3.80218610150723
"33",54,"Bucaramanga","12/03/1987","F",339,26,1987-03-12,2019-03-06,32,"Camiseta",7,3498,"Levis",5,"Rojo",6,5.90269650390085
"34",55,"Barranquilla","11/01/1985","F",472,11,1985-01-11,2019-03-06,34,"Camiseta",2,925,"Arturo Calle",2,"Amarillo",3,2.58698284417155
